,target
0,-0.047651462
1,-0.046036363
2,-0.01037963
3,-0.04771883
4,0.0070752646
5,-0.024228618
6,-0.007564883
7,-0.062230755
8,-0.055877816
9,-0.05253938
10,-0.059203822
11,-0.06900506
12,-0.00500595
13,0.17824642
14,-0.0782894
15,-0.029409336
16,-0.060053572
17,-0.025626563
18,-0.035670906
19,-0.043979127
20,0.0035785914
21,0.17640947
22,0.16669922
23,-0.008750116
24,0.009192737
25,-0.035328
26,0.026884733
27,0.16957521
28,-0.03334705
29,-0.0354462
30,0.039132163
31,-0.026043164
32,-0.05191651
33,-0.024997922
34,-0.058759976
35,-0.009609351
36,-0.06775957
37,-0.066774085
38,-0.093424976
39,0.020965694
40,0.160104
41,-0.033902552
42,0.0066801384
43,0.14318693
44,-0.06231395
45,-0.030646602
46,-0.078556515
47,-0.032687988
48,0.1343539
49,-0.064613275
50,-0.05147325
51,-0.06393262
52,-0.04696757
53,-0.056271557
54,0.12085176
55,-0.038609598
56,-0.050047804
57,-0.05943772
58,-0.053542264
59,-0.031814083
60,-0.036531035
61,-0.019345818
62,-0.05974119
63,0.16240542
64,-0.012474413
65,-0.0228018
66,-0.06441356
67,0.1664076
68,-0.049755882
69,0.19701202
70,-0.012141687
71,0.01961539
72,-0.06132888
73,0.003309177
74,-0.03334624
75,-0.051928613
76,0.0045011775
77,-0.034076333
78,0.016350387
79,-0.060119934
80,0.12788783
81,-0.035532128
82,0.026299153
83,-0.018425526
84,-0.053094413
85,-0.049868595
86,-0.02171477
87,0.04269577
88,0.01845708
89,-0.05694511
90,-0.040685643
91,-0.035393644
92,-0.03402864
93,-0.037233673
94,0.00080600264
95,-0.0514915
96,-0.050319094
97,-0.008733614
98,-0.028019883
99,0.012739284
100,0.13827902
101,-0.0068442314
102,0.011699277
103,-0.047468383
104,-0.049302384
105,-0.018696204
106,-0.045010224
107,-0.03705827
108,-0.074599996
109,-0.03198051
110,0.0024802731
111,-0.059203822
112,-0.022074087
113,-0.041814353
114,0.13743033
115,-0.060281724
116,-0.009409205
117,-0.02659179
118,-0.029081548
119,-0.046133883
120,0.15230419
121,-0.06310095
122,0.1696507
123,-0.03131726
124,0.11632756
125,0.003335081
126,-0.039737877
127,-0.05954492
128,0.007823822
129,-0.05403267
130,-0.0051566516
131,0.040730584
132,-0.036982015
133,-0.05494149
