iter	Passed	Remaining
0	66	65988
1	152	76090
2	240	79819
3	328	81903
4	405	80642
5	501	83119
6	589	83653
7	710	88097
8	807	88902
9	886	87727
10	960	86343
11	1024	84358
12	1095	83196
13	1164	82037
14	1233	81018
15	1308	80463
16	1378	79686
17	1496	81645
18	1611	83190
19	1698	83229
20	1775	82786
21	1877	83456
22	1967	83575
23	2042	83072
24	2106	82169
25	2197	82309
26	2288	82463
27	2374	82423
28	2415	80893
29	2493	80624
30	2515	78642
31	2579	78041
32	2649	77645
33	2683	76256
34	2763	76180
35	2830	75798
36	2907	75683
37	2980	75451
38	3070	75669
39	3173	76164
40	3246	75945
41	3323	75804
42	3399	75667
43	3493	75904
44	3563	75624
45	3633	75352
46	3715	75328
47	3808	75531
48	3844	74616
49	3929	74653
50	4020	74812
51	4094	74648
52	4179	74672
53	4231	74127
54	4320	74239
55	4387	73955
56	4446	73562
57	4513	73303
58	4571	72910
59	4610	72230
60	4687	72159
61	4758	71988
62	4809	71531
63	4838	70763
64	4895	70413
65	4961	70213
66	5028	70021
67	5102	69940
68	5176	69838
69	5245	69691
70	5333	69789
71	5392	69501
72	5506	69920
73	5563	69622
74	5639	69557
75	5724	69594
76	5758	69025
77	5803	68596
78	5909	68895
79	5978	68747
80	6054	68687
81	6126	68585
82	6207	68576
83	6279	68473
84	6324	68083
85	6391	67926
86	6473	67938
87	6539	67777
88	6601	67568
89	6675	67496
90	6745	67379
91	6832	67430
92	6904	67340
93	6989	67370
94	7070	67358
95	7154	67367
96	7234	67347
97	7300	67197
98	7366	67046
99	7438	66945
100	7480	66582
101	7549	66463
102	7609	66268
103	7631	65748
104	7692	65572
105	7776	65590
106	7847	65493
107	7906	65305
108	7973	65181
109	8044	65089
110	8120	65037
111	8156	64671
112	8229	64595
113	8298	64498
114	8367	64395
115	8441	64331
116	8514	64257
117	8582	64149
118	8654	64069
119	8734	64052
120	8808	63987
121	8896	64024
122	8963	63913
123	9034	63821
124	9112	63787
125	9173	63634
126	9278	63778
127	9362	63781
128	9446	63782
129	9534	63804
130	9597	63666
131	9641	63398
132	9723	63387
133	9743	62971
134	9806	62834
135	9900	62896
136	9979	62862
137	10041	62723
138	10102	62576
139	10170	62477
140	10221	62272
141	10307	62281
142	10395	62298
143	10478	62290
144	10494	61879
145	10569	61823
146	10584	61417
147	10661	61377
148	10731	61294
149	10796	61177
150	10864	61088
151	10931	60984
152	11005	60923
153	11085	60899
154	11171	60900
155	11233	60777
156	11295	60650
157	11313	60288
158	11381	60202
159	11420	59956
160	11501	59935
161	11568	59840
162	11652	59834
163	11722	59757
164	11777	59601
165	11845	59512
166	11894	59328
167	11923	59048
168	11951	58766
169	12028	58727
170	12102	58673
171	12142	58454
172	12209	58366
173	12269	58247
174	12308	58024
175	12364	57888
176	12444	57861
177	12520	57820
178	12590	57746
179	12679	57763
180	12737	57635
181	12805	57552
182	12869	57456
183	12878	57114
184	12888	56776
185	12952	56684
186	12982	56443
187	13049	56364
188	13066	56067
189	13142	56030
190	13205	55933
191	13234	55694
192	13300	55612
193	13352	55473
194	13372	55203
195	13430	55093
196	13487	54977
197	13555	54907
198	13601	54747
199	13622	54488
200	13672	54350
201	13736	54264
202	13824	54275
203	13866	54106
204	13934	54039
205	13955	53788
206	13973	53531
207	13988	53262
208	14009	53021
209	14027	52769
210	14085	52672
211	14105	52431
212	14165	52339
213	14225	52249
214	14289	52171
215	14377	52185
216	14446	52127
217	14527	52111
218	14587	52022
219	14598	51759
220	14672	51719
221	14741	51661
222	14816	51623
223	14834	51392
224	14913	51370
225	14997	51362
226	15078	51347
227	15145	51282
228	15170	51076
229	15242	51030
230	15311	50972
231	15381	50916
232	15438	50820
233	15513	50782
234	15590	50753
235	15653	50675
236	15724	50623
237	15799	50584
238	15824	50386
239	15854	50206
240	15932	50177
241	15938	49923
242	15956	49706
243	16019	49633
244	16102	49621
245	16185	49608
246	16299	49691
247	16392	49707
248	16401	49467
249	16418	49256
250	16435	49045
251	16494	48958
252	16509	48745
253	16566	48657
254	16629	48584
255	16637	48352
256	16668	48188
257	16749	48170
258	16838	48176
259	16893	48081
260	16955	48007
261	17014	47927
262	17089	47890
263	17097	47666
264	17170	47625
265	17194	47447
266	17267	47403
267	17309	47279
268	17328	47090
269	17344	46894
270	17374	46737
271	17395	46558
272	17491	46580
273	17535	46463
274	17595	46386
275	17686	46394
276	17748	46325
277	17841	46335
278	17898	46254
279	17950	46158
